dev_id,time,no2,pm25,o3,humdity,so2,status,vin,no2_o3,temperature,co
0004a30b0024358c,2019-01-15T07:59:12.066000008Z,24,2.3,0,21,31,0,12,14,21.6,0
0004a30b0024358c,2019-01-15T08:00:11.596578918Z,23,2.3,0,21,23,0,12,14,21.6,0
0004a30b0024358c,2019-01-15T08:01:12.106026766Z,21,2.3,0,21,35,0,12,13,21.6,0
0004a30b0024358c,2019-01-15T08:02:11.618890757Z,23,2.3,0,21,32,0,12,13,21.6,0
0004a30b0024358c,2019-01-15T08:03:12.157413003Z,23,2.2,0,21,30,0,12,12,21.6,0
0004a30b0024358c,2019-01-15T08:04:11.657661886Z,22,2.3,0,21,28,0,12,14,21.6,0
0004a30b0024358c,2019-01-15T08:05:12.154631288Z,22,2.3,0,21,31,0,12,13,21.6,0
0004a30b0024358c,2019-01-15T08:06:11.679793377Z,23,2.3,0,21,31,0,12,13,21.6,0
0004a30b0024358c,2019-01-15T08:07:11.21067295Z,21,2.3,0,21,31,0,12,13,21.6,0
0004a30b0024358c,2019-01-15T08:08:11.711138966Z,23,2.3,0,21,28,0,12,14,21.6,0
0004a30b0024358c,2019-01-15T08:09:11.232382727Z,23,2.3,0,21,30,0,12,14,21.6,0
0004a30b0024358c,2019-01-15T08:10:11.750940528Z,24,2.3,0,21,33,0,12,14,21.6,0
0004a30b0024358c,2019-01-15T08:11:11.277698168Z,23,2.3,0,21,28,0,12,14,21.6,0
0004a30b0024358c,2019-01-15T08:12:11.770517236Z,21,2.3,0,21,31,0,12,14,21.6,0
0004a30b0024358c,2019-01-15T08:13:11.293440252Z,24,2.3,0,21,28,0,12,13,21.6,0
0004a30b0024358c,2019-01-15T08:14:11.810546906Z,23,2.3,0,21,30,0,12,14,21.6,0
0004a30b0024358c,2019-01-15T08:15:11.324638136Z,24,2.3,0,21,27,0,12,13,21.6,0
0004a30b0024358c,2019-01-15T08:16:11.843011631Z,23,2.3,0,21,32,0,12,14,21.6,0
0004a30b0024358c,2019-01-15T08:17:11.357581277Z,23,2.3,0,21,28,0,12,14,21.6,0
0004a30b0024358c,2019-01-15T08:18:11.878972569Z,25,2.3,0,21,27,0,12,14,21.6,0
0004a30b0024358c,2019-01-15T08:19:11.387041929Z,23,2.3,0,21,27,0,12,14,21.6,0
